Fecha,Número de confirmados,Media móvil semanal
14-Abr,5497,7288.9
15-Abr,7357,7169.1
16-Abr,7590,6943.3
17-Abr,7696,6882.1
18-Abr,7294,6789.1
19-Abr,6643,6827.9
20-Abr,5071,6735.4
21-Abr,4914,6652.1
22-Abr,6832,6577.1
23-Abr,7525,6567.9
24-Abr,6796,6439.3
25-Abr,6638,6345.6
